Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
1,231,0,0,18.3945601677714,16.0950520196398,-60.2243155572569,0.112112723877429,0.00023767082590612,0,1
2,378,0,0,23.9089693049513,20.2203822978766,-43.1417353130493,0.16491337275651,0.00342359165888577,0,1
3,184,0,0,18.5966838652861,12.7273337872891,-41.4221469940549,0.112489343563512,2.13128729752771e-05,0,2
4,402,0,0,23.1055888726843,22.253695946108,42.5777035332028,0.201726660813579,0.010496536923227,0,1
5,322,0,0,24.0239126847803,17.1862259623691,-85.2912238636699,0.318048958713921,0.055644866642309,0,1
6,168,0,0,16.3284528340735,13.2440931914068,-64.6437638682493,0.0885854341736693,0.000490196078431373,0,1
7,409,0,0,24.0940668242466,21.6707361644053,88.7666360303647,0.203902392252745,0.0103264777793758,0,1
8,2391,534,22.3337515683814,85.3400821716256,48.890629316527,29.9458620521488,0.442471359099892,0.137494362027538,2,1
9,392,0,0,23.7989240868081,21.0462510788673,76.3851021825094,0.155862344937976,0.0079331732693077,0,1
10,332,26,7.83132530120482,23.5732299449864,18.029511066819,-82.6356082242305,0.36384360973305,0.10689818095913,0,1
11,267,0,0,21.7038985518239,15.7691387908636,-70.4930811975232,0.104810163765881,0.00270250422266284,0,1
12,1408,11,0.78125,82.825826820869,28.4040627615174,-19.3412160531966,0.284241310160429,0.0584948752228173,2,1
13,381,1,0.26246719160105,22.1358263817328,22.0127638519072,67.0446314421965,0.353991045236993,0.071658689722608,0,1
14,335,0,0,21.7041228445529,19.7506293459407,80.7142632925237,0.192203687445128,0.0307872402692419,0,1
15,418,116,27.7511961722488,24.9927558624552,21.3794644093771,-79.7157341523837,0.391622103386809,0.145914250867812,1,1
16,289,45,15.5709342560554,21.4043560377304,17.3437536349147,-76.7734117121654,0.368736006513332,0.126182237600923,0,1
17,396,6,1.51515151515152,24.3419278686336,20.7707442744049,-57.4300407407867,0.36079421667657,0.0931273519508813,0,1
18,347,5,1.44092219020173,21.6017674632023,20.629983969686,-7.27971807001297,0.340419280103973,0.0868960840820476,0,1
19,231,0,0,19.1976748096308,15.4284822316704,43.0174672098385,0.108887191240132,0.000288600288600289,0,1
20,404,6,1.48514851485149,23.326159223238,22.138380449766,-16.2830880539875,0.311881188118812,0.0975927004465151,0,1
21,395,67,16.9620253164557,26.5721631176351,19.3281265473303,-67.0019729276501,0.40005956813105,0.134743112434847,0,1
22,2355,2,0.0849256900212314,113.234125076773,45.1166177324041,76.7607521073485,0.211266808209484,0.0247783189709011,2,1
23,413,171,41.4043583535109,24.7329023986714,21.3386534421851,81.8790026614312,0.446318188292266,0.198955514409154,1,1
24,330,0,0,25.5390018086677,16.7977755541679,-81.4690638151834,0.16172311348782,0.0302198455139631,0,1
25,373,3,0.804289544235925,23.451534968862,20.399659798382,-88.1237287343835,0.266435367712769,0.0793250275981704,0,1
26,287,0,0,22.3567429936646,16.5004425256145,-54.0389312340139,0.151028216164515,0.0157955865272938,0,1
27,392,62,15.8163265306122,25.4961027199344,19.6436321717199,86.7505493878297,0.45594237695078,0.159043617446979,0,1
28,377,30,7.95755968169761,22.9486825411065,21.0535691537716,-80.8795081913327,0.39499661933739,0.126353565298799,0,1
29,349,111,31.8051575931232,30.8965448273018,14.708335771764,-38.6554915975027,0.548098207764481,0.175200853980561,1,1
30,362,15,4.14364640883978,25.568870967095,18.1617434654011,-76.9420392806831,0.30764814212978,0.115469613259669,0,1
31,406,41,10.0985221674877,27.1917358960919,19.1203249427543,-71.9314190825718,0.354505940307158,0.133912875495026,0,1
32,1918,240,12.5130344108446,99.2820945444075,37.5150327670771,63.1776118148919,0.341949334478318,0.107487374511849,2,1
33,183,0,0,20.3041087670266,11.589857246469,75.3628753212381,0.11818279224258,0.0130933247615986,0,1
34,948,299,31.5400843881857,37.0139525430993,34.6545530677202,-27.2665204918804,0.505861669562339,0.169322412509309,2,1
35,289,0,0,22.5913256016076,16.9876860506713,50.6963220729392,0.1068322138544,0.00822308162019132,0,1
36,360,11,3.05555555555556,24.6267192782948,18.7118832331562,-60.0464153501689,0.348082788671024,0.0886492374727667,0,1
37,371,283,76.2803234501348,22.5032258346819,21.0738403305455,72.5251360651762,0.511960255800433,0.322287405528249,1,1
38,436,2,0.458715596330275,26.2353166190902,21.2215366603581,-78.3996881321991,0.234871379744559,0.0738801942795465,0,1
39,381,51,13.3858267716535,24.3202390389467,20.0285146752605,-67.8761999953364,0.397931140960321,0.144212855745973,0,1
40,367,0,0,29.3366092458798,16.5588936023178,72.9880268542368,0.179206069348721,0.0438424961265159,0,1
41,521,0,0,30.9176493285567,21.637568732333,82.1264434953102,0.213759361710136,0.0186744947499153,0,1
42,392,173,44.1326530612245,29.6955985032333,17.335113243891,-69.8867998164305,0.529611844737895,0.188035214085635,1,1
43,1578,328,20.7858048162231,69.9965460633094,34.6646658726857,86.983097925069,0.301172991376526,0.117008374959617,2,1
44,512,0,0,44.8085439841,15.8852572963528,75.8003622400053,0.18396905637255,0.00442708333333333,0,1
45,418,96,22.9665071770335,24.6054197289228,21.8678084227484,64.2306967933775,0.452856740782437,0.186096256684492,1,1
46,165,0,0,20.838287436703,10.3532701492967,-15.4101534525202,0.365062388591801,0.047534165181224,0,1
47,344,90,26.1627906976744,22.111949650954,20.1841001882434,1.49493883521886,0.519642042863656,0.150216598267214,1,1
48,404,355,87.8712871287129,23.2899568020617,22.2022565722817,3.67553600954466,0.505047563579887,0.33949718501262,1,1
