Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
1,231,88,38.0952380952381,18.3945601677714,16.0950520196398,-60.2243155572569,0.112112723877429,0.165554706731177,1,1
2,378,237,62.6984126984127,23.9089693049513,20.2203822978766,-43.1417353130493,0.16491337275651,0.19187675070028,1,1
3,184,0,0,18.5966838652861,12.7273337872891,-41.4221469940549,0.112489343563512,0.00496589940323955,0,2
4,402,343,85.3233830845771,23.1055888726843,22.253695946108,42.5777035332028,0.201726660813579,0.250834064969272,1,1
5,322,266,82.6086956521739,24.0239126847803,17.1862259623691,-85.2912238636699,0.318048958713921,0.319291194738765,1,1
6,168,0,0,16.3284528340735,13.2440931914068,-64.6437638682493,0.0885854341736693,0.0718954248366012,0,1
7,409,299,73.1051344743276,24.0940668242466,21.6707361644053,88.7666360303647,0.203902392252745,0.212474231746489,1,1
8,2391,1671,69.8870765370138,85.3400821716256,48.890629316527,29.9458620521488,0.442471359099892,0.294699895851273,2,1
9,392,189,48.2142857142857,23.7989240868081,21.0462510788673,76.3851021825094,0.155862344937976,0.178451380552221,1,1
10,332,236,71.0843373493976,23.5732299449864,18.029511066819,-82.6356082242305,0.36384360973305,0.233876683203402,1,1
11,267,3,1.12359550561798,21.7038985518239,15.7691387908636,-70.4930811975232,0.104810163765881,0.101520158625248,0,1
12,1408,983,69.8153409090909,82.825826820869,28.4040627615174,-19.3412160531966,0.284241310160429,0.261316287878788,2,1
13,381,285,74.8031496062992,22.1358263817328,22.0127638519072,67.0446314421965,0.353991045236993,0.266378467397458,1,1
14,335,164,48.955223880597,21.7041228445529,19.7506293459407,80.7142632925237,0.192203687445128,0.177301726660814,1,1
15,418,351,83.9712918660287,24.9927558624552,21.3794644093771,-79.7157341523837,0.391622103386809,0.346111267473497,1,1
16,289,28,9.68858131487889,21.4043560377304,17.3437536349147,-76.7734117121654,0.368736006513332,0.125178098921229,0,1
17,396,307,77.5252525252525,24.3419278686336,20.7707442744049,-57.4300407407867,0.36079421667657,0.255337690631809,1,1
18,347,206,59.3659942363112,21.6017674632023,20.629983969686,-7.27971807001297,0.340419280103973,0.190552070972482,1,1
19,231,20,8.65800865800866,19.1976748096308,15.4284822316704,43.0174672098385,0.108887191240132,0.101570325099737,0,1
20,404,337,83.4158415841584,23.326159223238,22.138380449766,-16.2830880539875,0.311881188118812,0.300990099009901,1,1
21,395,347,87.8481012658228,26.5721631176351,19.3281265473303,-67.0019729276501,0.40005956813105,0.280248200546041,1,1
22,2355,632,26.8365180467091,113.234125076773,45.1166177324041,76.7607521073485,0.211266808209484,0.156806127971359,2,1
23,413,382,92.4939467312349,24.7329023986714,21.3386534421851,81.8790026614312,0.446318188292266,0.431495988225799,1,1
24,330,21,6.36363636363636,25.5390018086677,16.7977755541679,-81.4690638151834,0.16172311348782,0.113107546048722,0,1
25,373,301,80.6970509383378,23.451534968862,20.399659798382,-88.1237287343835,0.266435367712769,0.244640698102297,1,1
26,287,17,5.92334494773519,22.3567429936646,16.5004425256145,-54.0389312340139,0.151028216164515,0.133428981348637,0,1
27,392,332,84.6938775510204,25.4961027199344,19.6436321717199,86.7505493878297,0.45594237695078,0.283183273309324,1,1
28,377,339,89.920424403183,22.9486825411065,21.0535691537716,-80.8795081913327,0.39499661933739,0.244104644510325,1,1
29,349,274,78.5100286532951,30.8965448273018,14.708335771764,-38.6554915975027,0.548098207764481,0.326714983987865,1,1
30,362,304,83.9779005524862,25.568870967095,18.1617434654011,-76.9420392806831,0.30764814212978,0.263600909977251,1,1
31,406,311,76.6009852216749,27.1917358960919,19.1203249427543,-71.9314190825718,0.354505940307158,0.272442770211533,1,1
32,1918,1421,74.0875912408759,99.2820945444075,37.5150327670771,63.1776118148919,0.341949334478318,0.280289926189455,2,1
33,183,14,7.65027322404372,20.3041087670266,11.589857246469,75.3628753212381,0.11818279224258,0.115504125147326,0,1
34,948,611,64.4514767932489,37.0139525430993,34.6545530677202,-27.2665204918804,0.505861669562339,0.222983370563416,2,1
35,289,62,21.4532871972318,22.5913256016076,16.9876860506713,50.6963220729392,0.1068322138544,0.145111608657304,1,1
36,360,236,65.5555555555556,24.6267192782948,18.7118832331562,-60.0464153501689,0.348082788671024,0.222864923747277,1,1
37,371,345,92.9919137466307,22.5032258346819,21.0738403305455,72.5251360651762,0.511960255800433,0.406701548543946,1,1
38,436,289,66.2844036697248,26.2353166190902,21.2215366603581,-78.3996881321991,0.234871379744559,0.221946393236194,1,1
39,381,308,80.8398950131234,24.3202390389467,20.0285146752605,-67.8761999953364,0.397931140960321,0.280572281406001,1,1
40,367,115,31.3351498637602,29.3366092458798,16.5588936023178,72.9880268542368,0.179206069348721,0.143399048992894,1,1
41,521,352,67.5623800383877,30.9176493285567,21.637568732333,82.1264434953102,0.213759361710136,0.237251138459223,1,1
42,392,93,23.7244897959184,29.6955985032333,17.335113243891,-69.8867998164305,0.529611844737895,0.136294517807123,1,1
43,1578,930,58.93536121673,69.9965460633094,34.6646658726857,86.983097925069,0.301172991376526,0.232130520142152,2,1
44,512,98,19.140625,44.8085439841,15.8852572963528,75.8003622400053,0.18396905637255,0.124931066176471,0,1
45,418,363,86.8421052631579,24.6054197289228,21.8678084227484,64.2306967933775,0.452856740782437,0.351646495918942,1,1
46,165,82,49.6969696969697,20.838287436703,10.3532701492967,-15.4101534525202,0.365062388591801,0.178847296494355,1,1
47,344,318,92.4418604651163,22.111949650954,20.1841001882434,1.49493883521886,0.519642042863656,0.356440948472412,1,1
48,404,384,95.049504950495,23.2899568020617,22.2022565722817,3.67553600954466,0.505047563579887,0.436332750922151,1,1
49,127,7,5.51181102362205,17.8833977380641,9.32452294762695,-33.5276817377809,0.319221861973136,0.118573413617415,0,1
50,321,219,68.2242990654206,32.058903302681,12.9979141638173,61.5666175609078,0.37918270111783,0.225166452873985,1,1
51,118,117,99.1525423728814,21.5919862969786,7.2574081729854,47.1579957878254,0.314257228315054,0.377035559986706,1,1
52,1440,847,58.8194444444444,98.959192809909,25.7666577323335,87.209801692906,0.33306917211329,0.273660130718954,2,1
53,1259,1076,85.4646544876886,67.2643691497898,34.747154670644,81.3680198520168,0.478901711598062,0.314130417854195,2,1
54,725,609,84,36.855187546823,25.5278516748716,-44.9300894620212,0.445181879648411,0.393876943881001,1,1
55,203,83,40.8866995073892,22.5940886839878,11.9243889760775,43.3598111936011,0.323461798512509,0.18477735921955,1,1
56,205,134,65.3658536585366,22.8379015154833,11.6128978189418,63.0815030590467,0.441071257771402,0.304677187948351,1,1
57,365,306,83.8356164383562,22.8560329438573,20.6614801081285,-37.5224004379259,0.596185871608918,0.363781896320173,1,1
58,411,0,0,24.4304575954576,22.1612854710239,-0.148348225852642,0.0981441725108536,0.0468202852917321,0,3
59,253,0,0,19.0850485998225,16.9847335222993,54.0939635171684,0.127334728357746,0.04378826629466,0,1
60,379,347,91.55672823219,24.18803689475,20.0264771832751,-54.8502927652216,0.321723834652595,0.284846603549072,1,1
61,346,318,91.9075144508671,21.5686784706988,20.5622980825158,62.5874324796806,0.668219426498923,0.355151309078545,1,1
62,302,0,0,22.8113183266428,16.9779471269366,79.3671739642146,0.113258018439164,0.0756395273341122,0,1
63,1272,590,46.3836477987421,53.8924701498121,32.9944404074937,-83.8524347048052,0.235660993957332,0.199873597237638,2,1
64,1813,1678,92.553778268064,90.8380995219051,34.9261502799558,78.8722128224691,0.590709797432488,0.399831283864899,2,1
65,820,273,33.2926829268293,41.678820199133,30.0563509355258,-27.2302678521089,0.276245815399331,0.157604017216644,2,1
66,341,52,15.2492668621701,28.3442580343427,16.8909193531299,59.7518869399514,0.143384509228912,0.151722155137715,0,1
67,556,0,0,32.2101754169161,22.5319618241915,73.2185573631852,0.238975878121033,0.0812879108477928,0,1
68,300,228,76,20.9042970945042,18.5520351290403,80.8706081650178,0.315424836601307,0.21240522875817,1,1
69,788,460,58.3756345177665,42.0098520115791,24.6290502265943,39.2272014448806,0.302299193789191,0.195580770379219,1,1
70,1379,1047,75.924583031182,94.417299979899,24.0850194804151,54.8869502520087,0.34221444923147,0.314297089394133,2,1
71,396,359,90.6565656565657,24.017639928373,21.0888004509885,-88.2161277925471,0.463398692810457,0.325965537730244,1,1
72,489,356,72.80163599182,45.0854759986919,14.7427254991034,84.2325792030395,0.221059384899154,0.30369301094671,1,3
73,579,308,53.1951640759931,32.2441500203719,22.970197661856,65.8249707015031,0.217454028243422,0.214243624911105,1,3
74,254,168,66.1417322834646,20.3385525670679,16.0444957220561,-3.1638887569512,0.414404817044928,0.276192681797129,1,1
75,260,0,0,24.9156929701376,13.5235713289952,-88.711287464851,0.242307692307693,0.0538009049773754,0,1
76,1365,723,52.967032967033,61.7485563293966,41.4840457582901,-0.923512219755368,0.521723766429649,0.245484450190333,2,1
77,177,176,99.4350282485876,18.28204579359,12.4563448196141,-21.117311991365,0.558590893984712,0.316251246261216,1,1
78,595,0,0,28.4821220409402,26.7465162097806,-17.2868862288774,0.212792881858626,0.0792815949909379,0,1
79,149,130,87.248322147651,14.8098960255823,13.0215979998476,58.4810280588609,0.500276352151599,0.386550861955521,1,1
80,292,0,0,28.6404042771504,13.1799128948567,72.2423072592159,0.486771420897126,0.0809293580445875,0,1
81,371,311,83.8274932614555,25.7566099517821,18.6263371248966,77.738783526114,0.740204006130754,0.379313989746843,1,1
82,331,153,46.2235649546828,24.7367505619927,18.1625265587996,60.2224037278832,0.182655055980096,0.174018126888218,1,1
83,459,423,92.156862745098,34.6792421699662,17.7795859632489,64.2933713222059,0.63115041223461,0.496638045196292,1,1
