Marcaje,Etiqueta,Conteo
Alexa Fluor 647,Negativo,99
Alexa Fluor 647,Positivo,216
Alexa Fluor 647,Duda,26
Alexa Fluor 555,Negativo,104
Alexa Fluor 555,Positivo,211
Alexa Fluor 555,Duda,26
Alexa Fluor 488,Negativo,77
Alexa Fluor 488,Positivo,238
Alexa Fluor 488,Duda,26
