Marcaje,Etiqueta,Conteo
Verde,Negativo,197
Verde,Positivo,90
Verde,Duda,31
Rojo,Negativo,276
Rojo,Positivo,11
Rojo,Duda,31
IR,Negativo,204
IR,Positivo,83
IR,Duda,31
