Marcaje,Etiqueta,Conteo
Alexa Fluor 555,Negativo,90
Alexa Fluor 555,Positivo,54
Alexa Fluor 555,Duda,6
Alexa Fluor 488,Negativo,26
Alexa Fluor 488,Positivo,118
Alexa Fluor 488,Duda,6
,Negativo,18
,Positivo,126
,Duda,6
