Marcaje,Conteo
Total,201
Alexa Fluor 488+/Alexa Fluor 555+,28
Alexa Fluor 488-/Alexa Fluor 555+,13
Alexa Fluor 488-/Alexa Fluor 555-,91
Alexa Fluor 488+/Alexa Fluor 555-,60
Warning,9
