Marcaje,Conteo
Total,201
Alexa Fluor 647+/Alexa Fluor 555+,29
Alexa Fluor 647-/Alexa Fluor 555+,12
Alexa Fluor 647-/Alexa Fluor 555-,83
Alexa Fluor 647+/Alexa Fluor 555-,68
Warning,9
